image_path,class_id,class_name,trajectory_id,fish_id
fish_image\fish_01\fish_000000009598_05281.png,0,fish_01,000000009598,05281
fish_image\fish_01\fish_000000009598_05283.png,0,fish_01,000000009598,05283
fish_image\fish_01\fish_000000009598_05285.png,0,fish_01,000000009598,05285
fish_image\fish_01\fish_000000009598_05287.png,0,fish_01,000000009598,05287
fish_image\fish_01\fish_000000009598_05288.png,0,fish_01,000000009598,05288
fish_image\fish_01\fish_000000009598_05351.png,0,fish_01,000000009598,05351
fish_image\fish_01\fish_000000009598_05352.png,0,fish_01,000000009598,05352
fish_image\fish_01\fish_000000009598_05359.png,0,fish_01,000000009598,05359
fish_image\fish_01\fish_000000009598_05362.png,0,fish_01,000000009598,05362
fish_image\fish_01\fish_000000009598_05364.png,0,fish_01,000000009598,05364
fish_image\fish_01\fish_000000009598_05366.png,0,fish_01,000000009598,05366
fish_image\fish_01\fish_000000009598_05369.png,0,fish_01,000000009598,05369
fish_image\fish_01\fish_000000009598_05379.png,0,fish_01,000000009598,05379
fish_image\fish_01\fish_000000009598_05386.png,0,fish_01,000000009598,05386
fish_image\fish_01\fish_000000009598_05424.png,0,fish_01,000000009598,05424
fish_image\fish_01\fish_000000009598_05428.png,0,fish_01,000000009598,05428
fish_image\fish_01\fish_000000009598_05429.png,0,fish_01,000000009598,05429
fish_image\fish_01\fish_000000009598_05449.png,0,fish_01,000000009598,05449
fish_image\fish_01\fish_000000009598_05450.png,0,fish_01,000000009598,05450
fish_image\fish_01\fish_000000009598_05453.png,0,fish_01,000000009598,05453
fish_image\fish_01\fish_000000009598_05455.png,0,fish_01,000000009598,05455
fish_image\fish_01\fish_000000009598_05459.png,0,fish_01,000000009598,05459
fish_image\fish_01\fish_000000009598_05460.png,0,fish_01,000000009598,05460
fish_image\fish_01\fish_000000009598_05463.png,0,fish_01,000000009598,05463
fish_image\fish_01\fish_000000009598_05468.png,0,fish_01,000000009598,05468
fish_image\fish_01\fish_000000009598_05478.png,0,fish_01,000000009598,05478
fish_image\fish_01\fish_000000009598_05482.png,0,fish_01,000000009598,05482
fish_image\fish_01\fish_000000009598_05490.png,0,fish_01,000000009598,05490
fish_image\fish_01\fish_000000009598_05495.png,0,fish_01,000000009598,05495
fish_image\fish_01\fish_000000009598_05504.png,0,fish_01,000000009598,05504
fish_image\fish_01\fish_000000009598_05509.png,0,fish_01,000000009598,05509
fish_image\fish_01\fish_000000009598_05512.png,0,fish_01,000000009598,05512
fish_image\fish_01\fish_000000009598_05514.png,0,fish_01,000000009598,05514
fish_image\fish_01\fish_000000009598_05516.png,0,fish_01,000000009598,05516
fish_image\fish_01\fish_000002019598_05363.png,0,fish_01,000002019598,05363
fish_image\fish_01\fish_000002019598_05367.png,0,fish_01,000002019598,05367
fish_image\fish_01\fish_000004250001_00042.png,0,fish_01,000004250001,00042
fish_image\fish_01\fish_000004250001_00043.png,0,fish_01,000004250001,00043
fish_image\fish_01\fish_000004250001_00044.png,0,fish_01,000004250001,00044
fish_image\fish_01\fish_000004250001_00045.png,0,fish_01,000004250001,00045
fish_image\fish_01\fish_000004250001_00046.png,0,fish_01,000004250001,00046
